全市路口节点标号	路口的横坐标X	路口的纵坐标Y	路口所属区域	发案率(次数)							
1	413	359	A	1.7		说明：					
2	403	343	A	2.1		A列：是全市交通网络中路口节点的标号（序号）					
3	383.5	351	A	2.2		B列：路口节点的横坐标X，是在交通网络中的实际横坐标值					
4	381	377.5	A	1.7		C列：路口节点的纵坐标Y，是在交通网络中的实际纵坐标值					
5	339	376	A	2.1		D列：路口节点所属的区					
6	335	383	A	2.5		E列：各路口节点的发案率是每个路口平均每天的发生报警案件数量					
7	317	362	A	2.4							
8	334.5	353.5	A	2.4		"地图距离和实际距离的比例是1:100000,即1毫米对应100米"					
9	333	342	A	2.1		坐标的长度单位为毫米					
10	282	325	A	1.6							
11	247	301	A	2.6							
12	219	316	A	2.4							
13	225	270	A	2.2							
14	280	292	A	2.5							
15	290	335	A	2.1							
16	337	328	A	2.6							
17	415	335	A	2.5							
18	432	371	A	1.9							
19	418	374	A	1.8							
20	444	394	A	1.9							
21	251	277	A	1.4							
22	234	271	A	1.4							
23	225	265	A	2.4							
24	212	290	A	1.1							
25	227	300	A	1.6							
26	256	301	A	1.2							
27	250.5	306	A	0.8							
28	243	328	A	1.3							
29	246	337	A	1.4							
30	314	367	A	2.1							
31	315	351	A	1.6							
32	326	355	A	1.5		案发地P点的标号：32					
33	327	350	A	1.4							
34	328	342.5	A	1.7							
35	336	339	A	1.4							
36	336	334	A	1.1							
37	331	335	A	0.1							
38	371	330	A	1.2							
39	371	333	A	1.4							
40	388.5	330.5	A	1.7							
41	411	327.5	A	1.4							
42	419	344	A	1.4							
43	411	343	A	1.7							
44	394	346	A	1.1							
45	342	342	A	1.4							
46	342	348	A	1.2							
47	325	372	A	1.6							
48	315	374	A	1.4							
49	342	372	A	1.2							
50	345	382	A	1.1							
51	348.5	380.5	A	0.8							
52	351	377	A	0.6							
53	348	369	A	1.4							
54	370	363	A	0.9							
55	371	353	A	1							
56	354	374	A	0.5							
57	363	382.5	A	0.8							
58	357	387	A	1.1							
59	351	382	A	0.9							
60	369	388	A	0.7							
61	335	395	A	0.6							
62	381	381	A	1.2							
63	391	375	A	1.4							
64	392	366	A	0.8							
65	395	361	A	0.7							
66	398	362	A	0.8							
67	401	359	A	0.8							
68	405	360	A	0.9							
69	410	355	A	1.1							
70	408	350	A	0.9							
71	415	351	A	1.1							
72	418	347	A	0.8							
73	422	354	A	0.9							
74	418.5	356	A	1.1							
75	405.5	364.5	A	0.8							
76	405	368	A	1.1							
77	409	370	A	0.8							
78	417	364	A	0.8							
79	420	370	A	0.8							
80	424	372	A	0.8							
81	438	368	A	1.4							
82	438.5	373	A	1.1							
83	434	376	A	0.9							
84	438	385	A	1							
85	440	392	A	1.2							
86	447	392	A	1.4							
87	448	381	A	1.1							
88	444.5	383	A	0.9							
89	441	385	A	1.4							
90	440.5	381.5	A	0.9							
91	445	380	A	0.9							
92	444	360	A	0.8							
93	140	130	B	1.6							
94	145	118	B	1.6							
95	160	96	B	1.6							
96	142.5	71	B	2.1							
97	150	70	B	1.8							
98	186	145	B	1.6							
99	158	73.5	B	2.6							
100	121	68	B	2.6							
101	157	145	B	1.1							
102	158	138.5	B	0.9							
103	159	135	B	0.5							
104	133	114	B	0.7							
105	137.5	113	B	0.4							
106	144	112	B	0.8							
107	139	117	B	0.2							
108	144.5	115	B	0.8							
109	151	113	B	0.6							
110	151.5	118	B	0.9							
111	150	111	B	0.8							
112	158	118	B	1.1							
113	159	109	B	0.8							
114	164	108.5	B	0.4							
115	163	105	B	0.7							
116	149	99.5	B	1.2							
117	143	102	B	0.8							
118	137	103	B	0.9							
119	131	103	B	0.5							
120	130	100	B	0.6							
121	127	102	B	0.6							
122	125	98	B	0.8							
123	129	96	B	0.9							
124	130	90	B	0.4							
125	124	90	B	0.7							
126	136	96	B	1.1							
127	136	90	B	0.8							
128	142	96	B	0.8							
129	148	96	B	0.7							
130	142	91	B	0.6							
131	147	91	B	0.7							
132	128	71	B	1.2							
133	136.5	76	B	0.8							
134	142	79	B	1.1							
135	147	81	B	0.8							
136	154	86	B	0.9							
137	148.5	74.5	B	1.1							
138	140	70	B	0.6							
139	140	63	B	0.7							
140	137.5	63	B	0.8							
141	138	59	B	0.4							
142	143	63	B	1.1							
143	151	69	B	0.8							
144	153	63	B	1.1							
145	143	60	B	0.7							
146	143	57	B	0.6							
147	143	51.5	B	0.8							
148	160	65	B	1.1							
149	162	59	B	0.6							
150	141	49	B	0.4							
151	143	40	B	0.8							
152	151	44	B	0.5							
153	150	33	B	0.1							
154	164	124	B	0.6							
155	171	125	B	0.7							
156	165.5	139	B	1.1							
157	181	131	B	1.4							
158	176	141	B	1.6							
159	170	140	B	0.8							
160	168	145	B	0.6							
161	166	150	B	0.8							
162	176	145	B	0.6							
163	180	149	B	0.7							
164	183	145	B	1.1							
165	202	131	B	1.1							
166	137.5	462	C	2.6							
167	167	399	C	2.2							
168	376	400	C	1.4							
169	210	390	C	2.6							
170	263	445	C	2.2							
171	284	409	C	1.9							
172	278.5	425	C	2.2							
173	295	382	C	2							
174	299	444	C	2.6							
175	362	443	C	2.2							
176	410	408.5	C	2.1							
177	395	520	C	2.2							
178	277	496	C	1.7							
179	235	465	C	2.2							
180	200	466.5	C	1.9							
181	167	462	C	2.4							
182	225	443	C	2.4							
183	400	447	C	1.2							
184	414	422	C	1.4							
185	424	400	C	1.2							
186	411	396	C	1.4							
187	420	401	C	0.8							
188	403	404	C	1.2							
189	376	406	C	0.9							
190	380	404	C	0.8							
191	377	424	C	0.8							
192	374	424	C	0.8							
193	370	423	C	0.4							
194	368	427.5	C	0.9							
195	374	431	C	1.2							
196	365	448	C	1.4							
197	356	450	C	1.4							
198	358	459	C	1.2							
199	354	495	C	1.1							
200	357	513	C	1.2							
201	359	528	C	0.4							
202	347	553	C	0.5							
203	261	537.5	C	0.8							
204	270	514	C	1.4							
205	313	511.5	C	0.4							
206	324	511	C	0.8							
207	333	511	C	0.7							
208	334	497	C	0.8							
209	323	497	C	0.7							
210	312	498	C	1.1							
211	317	451	C	1.1							
212	316	448	C	0.8							
213	315.5	444	C	0.7							
214	316	434	C	0.9							
215	318	412	C	1.2							
216	291.5	415	C	1.4							
217	284	425	C	1.4							
218	281	421	C	1.6							
219	299	434	C	1.4							
220	302	451	C	1.4							
221	305	457	C	1.2							
222	281	458.5	C	1.1							
223	274	448	C	0.8							
224	273.5	444	C	0.9							
