交巡警平台编号	交巡警平台位置标号		说明：				
A1	1		A列：表示全市交巡警服务平台的名称编号				
A2	2		B列：表示全市交巡警服务平台的位置标号				
A3	3						
A4	4						
A5	5						
A6	6						
A7	7						
A8	8						
A9	9						
A10	10						
A11	11						
A12	12						
A13	13						
A14	14						
A15	15						
A16	16						
A17	17						
A18	18						
A19	19						
A20	20
A21	92
A22	61
A23	29
A24	38		
B1	93						
B2	94						
B3	95						
B4	96						
B5	97						
B6	98						
B7	99						
B8	100						
C1	166						
C2	167						
C3	168						
C4	169						
C5	170						
C6	171						
C7	172						
C8	173						
C9	174						
C10	175						
C11	176						
C12	177						
C13	178						
C14	179						
C15	180						
C16	181						
C17	182						
D1	320						
D2	321						
D3	322						
D4	323						
D5	324						
D6	325						
D7	326						
D8	327						
D9	328						
E1	372						
E2	373						
E3	374						
E4	375						
E5	376						
E6	377						
E7	378						
E8	379						
E9	380						
E10	381						
E11	382						
E12	383						
E13	384						
E14	385						
E15	386						
F1	475						
F2	476						
F3	477						
F4	478						
F5	479						
F6	480						
F7	481						
F8	482						
F9	483						
F10	484						
F11	485						
