交巡警平台编号	交巡警平台位置标号		说明：				
A3	3		A列：表示全市交巡警服务平台的名称编号				
A5	5		B列：表示全市交巡警服务平台的位置标号				
A11	11						
A24	24						
A33	33						
A40	40						
A42	42						
A57	57						
A75	75						
A81	81						
A86	86						
A92	92						
B100	100						
B110	110						
B123	123						
B152	152						
B157	157						
B165	165						
C174	174						
C176	176						
C193	193						
C197	197						
C208	208						
C225	225						
C231	231						
C237	237						
C241	241						
C249	249						
C265	265						
C268	268						
C272	272						
C274	274						
C282	282						
C290	290						
C304	304						
C307	307						
C319	319						
D322	322						
D327	327						
D329	329						
D333	333						
D345	345						
D348	348						
D360	360						
D363	363						
E372	372						
E375	375						
E377	377						
E380	380						
E382	382						
E393	393						
E399	399						
E407	407						
E413	413						
E421	421						
E423	423						
E437	437						
E440	440						
E444	444						
E445	445						
E452	452						
E460	460						
E469	469						
E472	472						
E473	473						
F478	478						
F479	479						
F480	480						
F486	486						
F490	490						
F501	501						
F503	503						
F506	506						
F525	525						
F535	535						
F548	548						
F557	557						
F559	559						
F561	561						
F570	570						
